opcode_prefix,source_file,game_name,cheat_name,original_code_line,following_code_line_if_relevant,position_in_cheat,inferred_role,address_field,possible_saturn_address,value_field,address_range_guess,value_width_guess,confidence_low_medium_high,candidate_support_path,risk,notes
30,libretro-sega-saturn\Dark Savior (GameShark).cht,Dark Savior,Always Have Man's Key,302FB0EA+0001,,1/1,"likely low work RAM 8-bit direct write pattern, unconfirmed opcode",0x2FB0EA,0x002FB0EA,0x0001,0x00200000-0x002FFFFF low work RAM candidate if address field is literal Saturn low RAM,8-bit-looking,medium,Future low-work-RAM 8-bit write path; needs RTL target path and opcode confirmation.,high implementation risk in current core because target appears to be low work RAM byte writes,unsupported or mixed record types: unsupported_prefix_30 Values are byte-looking and addresses include odd offsets; pattern resembles byte writes outside current RAMH path.
30,libretro-sega-saturn\Dark Savior (GameShark).cht,Dark Savior,Always Have Key to The Ruins,302FB0EB+0001,,1/1,"likely low work RAM 8-bit direct write pattern, unconfirmed opcode",0x2FB0EB,0x002FB0EB,0x0001,0x00200000-0x002FFFFF low work RAM candidate if address field is literal Saturn low RAM,8-bit-looking,medium,Future low-work-RAM 8-bit write path; needs RTL target path and opcode confirmation.,high implementation risk in current core because target appears to be low work RAM byte writes,unsupported or mixed record types: unsupported_prefix_30 Values are byte-looking and addresses include odd offsets; pattern resembles byte writes outside current RAMH path.
30,libretro-sega-saturn\Dark Savior (GameShark).cht,Dark Savior,Always Have Scroll of Lavian,302FB0EC+0001,,1/1,"likely low work RAM 8-bit direct write pattern, unconfirmed opcode",0x2FB0EC,0x002FB0EC,0x0001,0x00200000-0x002FFFFF low work RAM candidate if address field is literal Saturn low RAM,8-bit-looking,medium,Future low-work-RAM 8-bit write path; needs RTL target path and opcode confirmation.,high implementation risk in current core because target appears to be low work RAM byte writes,unsupported or mixed record types: unsupported_prefix_30 Values are byte-looking and addresses include odd offsets; pattern resembles byte writes outside current RAMH path.
30,libretro-sega-saturn\Dark Savior (GameShark).cht,Dark Savior,Always Have Copper Ring,302FB0ED+0001,,1/1,"likely low work RAM 8-bit direct write pattern, unconfirmed opcode",0x2FB0ED,0x002FB0ED,0x0001,0x00200000-0x002FFFFF low work RAM candidate if address field is literal Saturn low RAM,8-bit-looking,medium,Future low-work-RAM 8-bit write path; needs RTL target path and opcode confirmation.,high implementation risk in current core because target appears to be low work RAM byte writes,unsupported or mixed record types: unsupported_prefix_30 Values are byte-looking and addresses include odd offsets; pattern resembles byte writes outside current RAMH path.
30,libretro-sega-saturn\Dark Savior (GameShark).cht,Dark Savior,Always Have Golden Ring,302FB0EE+0001,,1/1,"likely low work RAM 8-bit direct write pattern, unconfirmed opcode",0x2FB0EE,0x002FB0EE,0x0001,0x00200000-0x002FFFFF low work RAM candidate if address field is literal Saturn low RAM,8-bit-looking,medium,Future low-work-RAM 8-bit write path; needs RTL target path and opcode confirmation.,high implementation risk in current core because target appears to be low work RAM byte writes,unsupported or mixed record types: unsupported_prefix_30 Values are byte-looking and addresses include odd offsets; pattern resembles byte writes outside current RAMH path.
30,libretro-sega-saturn\Dark Savior (GameShark).cht,Dark Savior,Always Have Silver Ring,302FB0EF+0001,,1/1,"likely low work RAM 8-bit direct write pattern, unconfirmed opcode",0x2FB0EF,0x002FB0EF,0x0001,0x00200000-0x002FFFFF low work RAM candidate if address field is literal Saturn low RAM,8-bit-looking,medium,Future low-work-RAM 8-bit write path; needs RTL target path and opcode confirmation.,high implementation risk in current core because target appears to be low work RAM byte writes,unsupported or mixed record types: unsupported_prefix_30 Values are byte-looking and addresses include odd offsets; pattern resembles byte writes outside current RAMH path.
30,libretro-sega-saturn\Dark Savior (GameShark).cht,Dark Savior,Always Have Warden's Diary 1,302FB0F0+0001,,1/1,"likely low work RAM 8-bit direct write pattern, unconfirmed opcode",0x2FB0F0,0x002FB0F0,0x0001,0x00200000-0x002FFFFF low work RAM candidate if address field is literal Saturn low RAM,8-bit-looking,medium,Future low-work-RAM 8-bit write path; needs RTL target path and opcode confirmation.,high implementation risk in current core because target appears to be low work RAM byte writes,unsupported or mixed record types: unsupported_prefix_30 Values are byte-looking and addresses include odd offsets; pattern resembles byte writes outside current RAMH path.
30,libretro-sega-saturn\Dark Savior (GameShark).cht,Dark Savior,Always Have Warden's Diary 2,302FB0F1+0001,,1/1,"likely low work RAM 8-bit direct write pattern, unconfirmed opcode",0x2FB0F1,0x002FB0F1,0x0001,0x00200000-0x002FFFFF low work RAM candidate if address field is literal Saturn low RAM,8-bit-looking,medium,Future low-work-RAM 8-bit write path; needs RTL target path and opcode confirmation.,high implementation risk in current core because target appears to be low work RAM byte writes,unsupported or mixed record types: unsupported_prefix_30 Values are byte-looking and addresses include odd offsets; pattern resembles byte writes outside current RAMH path.
30,libretro-sega-saturn\Dark Savior (GameShark).cht,Dark Savior,Always Have Doc's Diary,302FB0F2+0001,,1/1,"likely low work RAM 8-bit direct write pattern, unconfirmed opcode",0x2FB0F2,0x002FB0F2,0x0001,0x00200000-0x002FFFFF low work RAM candidate if address field is literal Saturn low RAM,8-bit-looking,medium,Future low-work-RAM 8-bit write path; needs RTL target path and opcode confirmation.,high implementation risk in current core because target appears to be low work RAM byte writes,unsupported or mixed record types: unsupported_prefix_30 Values are byte-looking and addresses include odd offsets; pattern resembles byte writes outside current RAMH path.
30,libretro-sega-saturn\Dark Savior (GameShark).cht,Dark Savior,Always Have Alibaba's Diary 1,302FB0F3+0001,,1/1,"likely low work RAM 8-bit direct write pattern, unconfirmed opcode",0x2FB0F3,0x002FB0F3,0x0001,0x00200000-0x002FFFFF low work RAM candidate if address field is literal Saturn low RAM,8-bit-looking,medium,Future low-work-RAM 8-bit write path; needs RTL target path and opcode confirmation.,high implementation risk in current core because target appears to be low work RAM byte writes,unsupported or mixed record types: unsupported_prefix_30 Values are byte-looking and addresses include odd offsets; pattern resembles byte writes outside current RAMH path.
30,libretro-sega-saturn\Dark Savior (GameShark).cht,Dark Savior,Always Have Alibaba's Diary 2,302FB0F4+0001,,1/1,"likely low work RAM 8-bit direct write pattern, unconfirmed opcode",0x2FB0F4,0x002FB0F4,0x0001,0x00200000-0x002FFFFF low work RAM candidate if address field is literal Saturn low RAM,8-bit-looking,medium,Future low-work-RAM 8-bit write path; needs RTL target path and opcode confirmation.,high implementation risk in current core because target appears to be low work RAM byte writes,unsupported or mixed record types: unsupported_prefix_30 Values are byte-looking and addresses include odd offsets; pattern resembles byte writes outside current RAMH path.
30,libretro-sega-saturn\Dark Savior (GameShark).cht,Dark Savior,Always Have Silver Key,302FB0F5+0001,,1/1,"likely low work RAM 8-bit direct write pattern, unconfirmed opcode",0x2FB0F5,0x002FB0F5,0x0001,0x00200000-0x002FFFFF low work RAM candidate if address field is literal Saturn low RAM,8-bit-looking,medium,Future low-work-RAM 8-bit write path; needs RTL target path and opcode confirmation.,high implementation risk in current core because target appears to be low work RAM byte writes,unsupported or mixed record types: unsupported_prefix_30 Values are byte-looking and addresses include odd offsets; pattern resembles byte writes outside current RAMH path.
30,libretro-sega-saturn\Dark Savior (GameShark).cht,Dark Savior,Always Have Sewer Key,302FB0F6+0001,,1/1,"likely low work RAM 8-bit direct write pattern, unconfirmed opcode",0x2FB0F6,0x002FB0F6,0x0001,0x00200000-0x002FFFFF low work RAM candidate if address field is literal Saturn low RAM,8-bit-looking,medium,Future low-work-RAM 8-bit write path; needs RTL target path and opcode confirmation.,high implementation risk in current core because target appears to be low work RAM byte writes,unsupported or mixed record types: unsupported_prefix_30 Values are byte-looking and addresses include odd offsets; pattern resembles byte writes outside current RAMH path.
30,libretro-sega-saturn\Dark Savior (GameShark).cht,Dark Savior,Always Have Passage Way,302FB0F7+0001,,1/1,"likely low work RAM 8-bit direct write pattern, unconfirmed opcode",0x2FB0F7,0x002FB0F7,0x0001,0x00200000-0x002FFFFF low work RAM candidate if address field is literal Saturn low RAM,8-bit-looking,medium,Future low-work-RAM 8-bit write path; needs RTL target path and opcode confirmation.,high implementation risk in current core because target appears to be low work RAM byte writes,unsupported or mixed record types: unsupported_prefix_30 Values are byte-looking and addresses include odd offsets; pattern resembles byte writes outside current RAMH path.
30,libretro-sega-saturn\Dark Savior (GameShark).cht,Dark Savior,Always Have Mural Key,302FB0F8+0001,,1/1,"likely low work RAM 8-bit direct write pattern, unconfirmed opcode",0x2FB0F8,0x002FB0F8,0x0001,0x00200000-0x002FFFFF low work RAM candidate if address field is literal Saturn low RAM,8-bit-looking,medium,Future low-work-RAM 8-bit write path; needs RTL target path and opcode confirmation.,high implementation risk in current core because target appears to be low work RAM byte writes,unsupported or mixed record types: unsupported_prefix_30 Values are byte-looking and addresses include odd offsets; pattern resembles byte writes outside current RAMH path.
30,libretro-sega-saturn\Dark Savior (GameShark).cht,Dark Savior,Always Have Mural Key,302FB0F9+0001,,1/1,"likely low work RAM 8-bit direct write pattern, unconfirmed opcode",0x2FB0F9,0x002FB0F9,0x0001,0x00200000-0x002FFFFF low work RAM candidate if address field is literal Saturn low RAM,8-bit-looking,medium,Future low-work-RAM 8-bit write path; needs RTL target path and opcode confirmation.,high implementation risk in current core because target appears to be low work RAM byte writes,unsupported or mixed record types: unsupported_prefix_30 Values are byte-looking and addresses include odd offsets; pattern resembles byte writes outside current RAMH path.
30,libretro-sega-saturn\Dark Savior (GameShark).cht,Dark Savior,Always Have Mural Key,302FB0FA+0001,,1/1,"likely low work RAM 8-bit direct write pattern, unconfirmed opcode",0x2FB0FA,0x002FB0FA,0x0001,0x00200000-0x002FFFFF low work RAM candidate if address field is literal Saturn low RAM,8-bit-looking,medium,Future low-work-RAM 8-bit write path; needs RTL target path and opcode confirmation.,high implementation risk in current core because target appears to be low work RAM byte writes,unsupported or mixed record types: unsupported_prefix_30 Values are byte-looking and addresses include odd offsets; pattern resembles byte writes outside current RAMH path.
30,libretro-sega-saturn\Dark Savior (GameShark).cht,Dark Savior,Always Have Mural Key,302FB0FB+0001,,1/1,"likely low work RAM 8-bit direct write pattern, unconfirmed opcode",0x2FB0FB,0x002FB0FB,0x0001,0x00200000-0x002FFFFF low work RAM candidate if address field is literal Saturn low RAM,8-bit-looking,medium,Future low-work-RAM 8-bit write path; needs RTL target path and opcode confirmation.,high implementation risk in current core because target appears to be low work RAM byte writes,unsupported or mixed record types: unsupported_prefix_30 Values are byte-looking and addresses include odd offsets; pattern resembles byte writes outside current RAMH path.
30,libretro-sega-saturn\Dark Savior (GameShark).cht,Dark Savior,Always Have Mural Key,302FB0FC+0001,,1/1,"likely low work RAM 8-bit direct write pattern, unconfirmed opcode",0x2FB0FC,0x002FB0FC,0x0001,0x00200000-0x002FFFFF low work RAM candidate if address field is literal Saturn low RAM,8-bit-looking,medium,Future low-work-RAM 8-bit write path; needs RTL target path and opcode confirmation.,high implementation risk in current core because target appears to be low work RAM byte writes,unsupported or mixed record types: unsupported_prefix_30 Values are byte-looking and addresses include odd offsets; pattern resembles byte writes outside current RAMH path.
30,libretro-sega-saturn\Dark Savior (GameShark).cht,Dark Savior,Always Have Mural Key,302FB0FD+0001,,1/1,"likely low work RAM 8-bit direct write pattern, unconfirmed opcode",0x2FB0FD,0x002FB0FD,0x0001,0x00200000-0x002FFFFF low work RAM candidate if address field is literal Saturn low RAM,8-bit-looking,medium,Future low-work-RAM 8-bit write path; needs RTL target path and opcode confirmation.,high implementation risk in current core because target appears to be low work RAM byte writes,unsupported or mixed record types: unsupported_prefix_30 Values are byte-looking and addresses include odd offsets; pattern resembles byte writes outside current RAMH path.
30,libretro-sega-saturn\Dark Savior (GameShark).cht,Dark Savior,Always Have Gold Key,302FB0FE+0001,,1/1,"likely low work RAM 8-bit direct write pattern, unconfirmed opcode",0x2FB0FE,0x002FB0FE,0x0001,0x00200000-0x002FFFFF low work RAM candidate if address field is literal Saturn low RAM,8-bit-looking,medium,Future low-work-RAM 8-bit write path; needs RTL target path and opcode confirmation.,high implementation risk in current core because target appears to be low work RAM byte writes,unsupported or mixed record types: unsupported_prefix_30 Values are byte-looking and addresses include odd offsets; pattern resembles byte writes outside current RAMH path.
30,libretro-sega-saturn\Dark Savior (GameShark).cht,Dark Savior,Always Have Gold Key,302FB0FF+0001,,1/1,"likely low work RAM 8-bit direct write pattern, unconfirmed opcode",0x2FB0FF,0x002FB0FF,0x0001,0x00200000-0x002FFFFF low work RAM candidate if address field is literal Saturn low RAM,8-bit-looking,medium,Future low-work-RAM 8-bit write path; needs RTL target path and opcode confirmation.,high implementation risk in current core because target appears to be low work RAM byte writes,unsupported or mixed record types: unsupported_prefix_30 Values are byte-looking and addresses include odd offsets; pattern resembles byte writes outside current RAMH path.
30,libretro-sega-saturn\Dark Savior (GameShark).cht,Dark Savior,Always Have Graveyard Key,302FB100+0001,,1/1,"likely low work RAM 8-bit direct write pattern, unconfirmed opcode",0x2FB100,0x002FB100,0x0001,0x00200000-0x002FFFFF low work RAM candidate if address field is literal Saturn low RAM,8-bit-looking,medium,Future low-work-RAM 8-bit write path; needs RTL target path and opcode confirmation.,high implementation risk in current core because target appears to be low work RAM byte writes,unsupported or mixed record types: unsupported_prefix_30 Values are byte-looking and addresses include odd offsets; pattern resembles byte writes outside current RAMH path.
30,libretro-sega-saturn\Dark Savior (GameShark).cht,Dark Savior,Always Have Castle Key,302FB102+0001,,1/1,"likely low work RAM 8-bit direct write pattern, unconfirmed opcode",0x2FB102,0x002FB102,0x0001,0x00200000-0x002FFFFF low work RAM candidate if address field is literal Saturn low RAM,8-bit-looking,medium,Future low-work-RAM 8-bit write path; needs RTL target path and opcode confirmation.,high implementation risk in current core because target appears to be low work RAM byte writes,unsupported or mixed record types: unsupported_prefix_30 Values are byte-looking and addresses include odd offsets; pattern resembles byte writes outside current RAMH path.
30,libretro-sega-saturn\Dark Savior (GameShark).cht,Dark Savior,Always Have Glitched Item,302FB103+0001,,1/1,"likely low work RAM 8-bit direct write pattern, unconfirmed opcode",0x2FB103,0x002FB103,0x0001,0x00200000-0x002FFFFF low work RAM candidate if address field is literal Saturn low RAM,8-bit-looking,medium,Future low-work-RAM 8-bit write path; needs RTL target path and opcode confirmation.,high implementation risk in current core because target appears to be low work RAM byte writes,unsupported or mixed record types: unsupported_prefix_30 Values are byte-looking and addresses include odd offsets; pattern resembles byte writes outside current RAMH path.
30,libretro-sega-saturn\Dark Savior (GameShark).cht,Dark Savior,Always Have Not Carrying Item,302FB104+0001,,1/1,"likely low work RAM 8-bit direct write pattern, unconfirmed opcode",0x2FB104,0x002FB104,0x0001,0x00200000-0x002FFFFF low work RAM candidate if address field is literal Saturn low RAM,8-bit-looking,medium,Future low-work-RAM 8-bit write path; needs RTL target path and opcode confirmation.,high implementation risk in current core because target appears to be low work RAM byte writes,unsupported or mixed record types: unsupported_prefix_30 Values are byte-looking and addresses include odd offsets; pattern resembles byte writes outside current RAMH path.
F6,libretro-sega-saturn\Darklight Conflict (GameShark).cht,Darklight Conflict,Master Code,F6000914+C305,B6002800+0000,1/2,master/enabler first record,0x000914,0x06000914,0xC305,0x06000000-0x060FFFFF RAMH candidate if prefix maps like direct Saturn RAMH write,16-bit-looking,high,Do not implement as direct write; treat as master/enabler metadata or drop for SUB-only tests.,high correctness risk; no direct payoff and likely AR/PAR enabler behavior,unsupported or mixed record types: master_enable Role confidence is high from source naming/pairing; executable semantics remain unconfirmed.
B6,libretro-sega-saturn\Darklight Conflict (GameShark).cht,Darklight Conflict,Master Code,B6002800+0000,,2/2,secondary master/enabler record paired after F6,0x002800,0x06002800,0x0000,0x06000000-0x060FFFFF RAMH candidate if prefix maps like direct Saturn RAMH write,8-bit-looking,high,Do not implement as direct write; paired master/enabler metadata only until opcode is documented.,high correctness risk; secondary enabler behavior unconfirmed,unsupported or mixed record types: master_enable Role confidence is high from source naming/pairing; executable semantics remain unconfirmed.
F6,libretro-sega-saturn\Daytona USA - Championship Circuit Edition (GameShark).cht,Daytona USA - Championship Circuit Edition,Master Code,F6000924+FFFF,,1/1,master/enabler first record,0x000924,0x06000924,0xFFFF,0x06000000-0x060FFFFF RAMH candidate if prefix maps like direct Saturn RAMH write,16-bit-looking,high,Do not implement as direct write; treat as master/enabler metadata or drop for SUB-only tests.,high correctness risk; no direct payoff and likely AR/PAR enabler behavior,unsupported or mixed record types: master_enable Role confidence is high from source naming/pairing; executable semantics remain unconfirmed.
10,libretro-sega-saturn\Daytona USA - Championship Circuit Edition (GameShark).cht,Daytona USA - Championship Circuit Edition,Play As Uma,102FC21C+0009,,1/1,"likely low work RAM 16-bit direct write pattern, unconfirmed opcode",0x2FC21C,0x002FC21C,0x0009,0x00200000-0x002FFFFF low work RAM candidate if address field is literal Saturn low RAM,8-bit-looking,medium,Future low-work-RAM 16-bit write path; needs RTL target path and opcode confirmation.,"high implementation risk in current core because target appears to be low work RAM, not RAMH",unsupported or mixed record types: unsupported_prefix_10 Address field is outside current RAMH mapping; pattern clusters in 0x002xxxxx low work RAM range.
10,libretro-sega-saturn\Daytona USA - Championship Circuit Edition (GameShark).cht,Daytona USA - Championship Circuit Edition,Play As Uma2,102FC21C+000A,,1/1,"likely low work RAM 16-bit direct write pattern, unconfirmed opcode",0x2FC21C,0x002FC21C,0x000A,0x00200000-0x002FFFFF low work RAM candidate if address field is literal Saturn low RAM,8-bit-looking,medium,Future low-work-RAM 16-bit write path; needs RTL target path and opcode confirmation.,"high implementation risk in current core because target appears to be low work RAM, not RAMH",unsupported or mixed record types: unsupported_prefix_10 Address field is outside current RAMH mapping; pattern clusters in 0x002xxxxx low work RAM range.
F6,libretro-sega-saturn\Daytona USA (GameShark).cht,Daytona USA,Master Code,F6000914+C305,B6002800+0000,1/2,master/enabler first record,0x000914,0x06000914,0xC305,0x06000000-0x060FFFFF RAMH candidate if prefix maps like direct Saturn RAMH write,16-bit-looking,high,Do not implement as direct write; treat as master/enabler metadata or drop for SUB-only tests.,high correctness risk; no direct payoff and likely AR/PAR enabler behavior,unsupported or mixed record types: master_enable Role confidence is high from source naming/pairing; executable semantics remain unconfirmed.
B6,libretro-sega-saturn\Daytona USA (GameShark).cht,Daytona USA,Master Code,B6002800+0000,,2/2,secondary master/enabler record paired after F6,0x002800,0x06002800,0x0000,0x06000000-0x060FFFFF RAMH candidate if prefix maps like direct Saturn RAMH write,8-bit-looking,high,Do not implement as direct write; paired master/enabler metadata only until opcode is documented.,high correctness risk; secondary enabler behavior unconfirmed,unsupported or mixed record types: master_enable Role confidence is high from source naming/pairing; executable semantics remain unconfirmed.
06,libretro-sega-saturn\Daytona USA (GameShark).cht,Daytona USA,Number of Cars on Course 1=5,06048072+0005,,1/1,"likely RAMH 16-bit direct write/code-patch pattern, unconfirmed opcode",0x048072,0x06048072,0x0005,0x06000000-0x060FFFFF RAMH candidate if prefix maps like direct Saturn RAMH write,8-bit-looking,medium,Candidate converter-only test mapping to existing SRMW/SRMR/SRMG for clean RAMH 16-bit rows.,"medium correctness risk; small converter-only candidate, but opcode not externally confirmed here","unsupported or mixed record types: unsupported_prefix_06 Address/value shape is compatible with RAMH 16-bit direct writes, but prefix meaning is unconfirmed locally."
06,libretro-sega-saturn\Daytona USA (GameShark).cht,Daytona USA,Numbers of Cars on Course 2=5,06048074+0005,,1/1,"likely RAMH 16-bit direct write/code-patch pattern, unconfirmed opcode",0x048074,0x06048074,0x0005,0x06000000-0x060FFFFF RAMH candidate if prefix maps like direct Saturn RAMH write,8-bit-looking,medium,Candidate converter-only test mapping to existing SRMW/SRMR/SRMG for clean RAMH 16-bit rows.,"medium correctness risk; small converter-only candidate, but opcode not externally confirmed here","unsupported or mixed record types: unsupported_prefix_06 Address/value shape is compatible with RAMH 16-bit direct writes, but prefix meaning is unconfirmed locally."
06,libretro-sega-saturn\Daytona USA (GameShark).cht,Daytona USA,Number of Cars on Course 3=5,06048076+0005,,1/1,"likely RAMH 16-bit direct write/code-patch pattern, unconfirmed opcode",0x048076,0x06048076,0x0005,0x06000000-0x060FFFFF RAMH candidate if prefix maps like direct Saturn RAMH write,8-bit-looking,medium,Candidate converter-only test mapping to existing SRMW/SRMR/SRMG for clean RAMH 16-bit rows.,"medium correctness risk; small converter-only candidate, but opcode not externally confirmed here","unsupported or mixed record types: unsupported_prefix_06 Address/value shape is compatible with RAMH 16-bit direct writes, but prefix meaning is unconfirmed locally."
06,libretro-sega-saturn\Daytona USA (GameShark).cht,Daytona USA,Number of Laps Course 3=6,0604805E+0006,,1/1,"likely RAMH 16-bit direct write/code-patch pattern, unconfirmed opcode",0x04805E,0x0604805E,0x0006,0x06000000-0x060FFFFF RAMH candidate if prefix maps like direct Saturn RAMH write,8-bit-looking,medium,Candidate converter-only test mapping to existing SRMW/SRMR/SRMG for clean RAMH 16-bit rows.,"medium correctness risk; small converter-only candidate, but opcode not externally confirmed here","unsupported or mixed record types: unsupported_prefix_06 Address/value shape is compatible with RAMH 16-bit direct writes, but prefix meaning is unconfirmed locally."
06,libretro-sega-saturn\Daytona USA (GameShark).cht,Daytona USA,Number of Laps Course 1=16,0604805A+0010,,1/1,"likely RAMH 16-bit direct write/code-patch pattern, unconfirmed opcode",0x04805A,0x0604805A,0x0010,0x06000000-0x060FFFFF RAMH candidate if prefix maps like direct Saturn RAMH write,8-bit-looking,medium,Candidate converter-only test mapping to existing SRMW/SRMR/SRMG for clean RAMH 16-bit rows.,"medium correctness risk; small converter-only candidate, but opcode not externally confirmed here","unsupported or mixed record types: unsupported_prefix_06 Address/value shape is compatible with RAMH 16-bit direct writes, but prefix meaning is unconfirmed locally."
06,libretro-sega-saturn\Daytona USA (GameShark).cht,Daytona USA,Number of Laps Course 2=10,0604805C+000A,,1/1,"likely RAMH 16-bit direct write/code-patch pattern, unconfirmed opcode",0x04805C,0x0604805C,0x000A,0x06000000-0x060FFFFF RAMH candidate if prefix maps like direct Saturn RAMH write,8-bit-looking,medium,Candidate converter-only test mapping to existing SRMW/SRMR/SRMG for clean RAMH 16-bit rows.,"medium correctness risk; small converter-only candidate, but opcode not externally confirmed here","unsupported or mixed record types: unsupported_prefix_06 Address/value shape is compatible with RAMH 16-bit direct writes, but prefix meaning is unconfirmed locally."
F6,libretro-sega-saturn\DecAthlete (GameShark).cht,DecAthlete,Master Code,F6000914+C305,B6002800+0000,1/2,master/enabler first record,0x000914,0x06000914,0xC305,0x06000000-0x060FFFFF RAMH candidate if prefix maps like direct Saturn RAMH write,16-bit-looking,high,Do not implement as direct write; treat as master/enabler metadata or drop for SUB-only tests.,high correctness risk; no direct payoff and likely AR/PAR enabler behavior,unsupported or mixed record types: master_enable Role confidence is high from source naming/pairing; executable semantics remain unconfirmed.
B6,libretro-sega-saturn\DecAthlete (GameShark).cht,DecAthlete,Master Code,B6002800+0000,,2/2,secondary master/enabler record paired after F6,0x002800,0x06002800,0x0000,0x06000000-0x060FFFFF RAMH candidate if prefix maps like direct Saturn RAMH write,8-bit-looking,high,Do not implement as direct write; paired master/enabler metadata only until opcode is documented.,high correctness risk; secondary enabler behavior unconfirmed,unsupported or mixed record types: master_enable Role confidence is high from source naming/pairing; executable semantics remain unconfirmed.
F6,libretro-sega-saturn\Defcon 5 (GameShark).cht,Defcon 5,Master Code,F6000914+C305,B6002800+0000,1/2,master/enabler first record,0x000914,0x06000914,0xC305,0x06000000-0x060FFFFF RAMH candidate if prefix maps like direct Saturn RAMH write,16-bit-looking,high,Do not implement as direct write; treat as master/enabler metadata or drop for SUB-only tests.,high correctness risk; no direct payoff and likely AR/PAR enabler behavior,unsupported or mixed record types: master_enable Role confidence is high from source naming/pairing; executable semantics remain unconfirmed.
B6,libretro-sega-saturn\Defcon 5 (GameShark).cht,Defcon 5,Master Code,B6002800+0000,,2/2,secondary master/enabler record paired after F6,0x002800,0x06002800,0x0000,0x06000000-0x060FFFFF RAMH candidate if prefix maps like direct Saturn RAMH write,8-bit-looking,high,Do not implement as direct write; paired master/enabler metadata only until opcode is documented.,high correctness risk; secondary enabler behavior unconfirmed,unsupported or mixed record types: master_enable Role confidence is high from source naming/pairing; executable semantics remain unconfirmed.
F6,libretro-sega-saturn\Die Hard Arcade (GameShark).cht,Die Hard Arcade,Master Code,F6000914+C305,B6002800+0000,1/2,master/enabler first record,0x000914,0x06000914,0xC305,0x06000000-0x060FFFFF RAMH candidate if prefix maps like direct Saturn RAMH write,16-bit-looking,high,Do not implement as direct write; treat as master/enabler metadata or drop for SUB-only tests.,high correctness risk; no direct payoff and likely AR/PAR enabler behavior,unsupported or mixed record types: master_enable Role confidence is high from source naming/pairing; executable semantics remain unconfirmed.
B6,libretro-sega-saturn\Die Hard Arcade (GameShark).cht,Die Hard Arcade,Master Code,B6002800+0000,,2/2,secondary master/enabler record paired after F6,0x002800,0x06002800,0x0000,0x06000000-0x060FFFFF RAMH candidate if prefix maps like direct Saturn RAMH write,8-bit-looking,high,Do not implement as direct write; paired master/enabler metadata only until opcode is documented.,high correctness risk; secondary enabler behavior unconfirmed,unsupported or mixed record types: master_enable Role confidence is high from source naming/pairing; executable semantics remain unconfirmed.
D6,libretro-sega-saturn\Die Hard Arcade (GameShark).cht,Die Hard Arcade,Infinite Energy P1,D60CC166+0000,160CC166+0072,1/2,conditional compare candidate before direct write,0x0CC166,0x060CC166,0x0000,0x06000000-0x060FFFFF RAMH candidate if prefix maps like direct Saturn RAMH write,8-bit-looking,medium,Future conditional read/compare/apply-next RTL format only after semantics are confirmed.,medium-high correctness and timing risk; requires read/compare/apply sequencing,"unsupported or mixed record types: conditional_d6,simple_16bit Following token captured because D6 commonly gates the next write."
F6,libretro-sega-saturn\Die Hard Trilogy (GameShark).cht,Die Hard Trilogy,Master Code,F6000924+C305,B6002800+0000,1/2,master/enabler first record,0x000924,0x06000924,0xC305,0x06000000-0x060FFFFF RAMH candidate if prefix maps like direct Saturn RAMH write,16-bit-looking,high,Do not implement as direct write; treat as master/enabler metadata or drop for SUB-only tests.,high correctness risk; no direct payoff and likely AR/PAR enabler behavior,unsupported or mixed record types: master_enable Role confidence is high from source naming/pairing; executable semantics remain unconfirmed.
B6,libretro-sega-saturn\Die Hard Trilogy (GameShark).cht,Die Hard Trilogy,Master Code,B6002800+0000,,2/2,secondary master/enabler record paired after F6,0x002800,0x06002800,0x0000,0x06000000-0x060FFFFF RAMH candidate if prefix maps like direct Saturn RAMH write,8-bit-looking,high,Do not implement as direct write; paired master/enabler metadata only until opcode is documented.,high correctness risk; secondary enabler behavior unconfirmed,unsupported or mixed record types: master_enable Role confidence is high from source naming/pairing; executable semantics remain unconfirmed.
F6,libretro-sega-saturn\Digital Pinball - Last Gladiators (GameShark).cht,Digital Pinball - Last Gladiators,Master Code,F6000914+C305,B6002800+0000,1/2,master/enabler first record,0x000914,0x06000914,0xC305,0x06000000-0x060FFFFF RAMH candidate if prefix maps like direct Saturn RAMH write,16-bit-looking,high,Do not implement as direct write; treat as master/enabler metadata or drop for SUB-only tests.,high correctness risk; no direct payoff and likely AR/PAR enabler behavior,unsupported or mixed record types: master_enable Role confidence is high from source naming/pairing; executable semantics remain unconfirmed.
B6,libretro-sega-saturn\Digital Pinball - Last Gladiators (GameShark).cht,Digital Pinball - Last Gladiators,Master Code,B6002800+0000,,2/2,secondary master/enabler record paired after F6,0x002800,0x06002800,0x0000,0x06000000-0x060FFFFF RAMH candidate if prefix maps like direct Saturn RAMH write,8-bit-looking,high,Do not implement as direct write; paired master/enabler metadata only until opcode is documented.,high correctness risk; secondary enabler behavior unconfirmed,unsupported or mixed record types: master_enable Role confidence is high from source naming/pairing; executable semantics remain unconfirmed.
