"source_file","game_name","cheat_name","original_code_lines","detected_type","code_prefixes","address_or_addresses","values","reason_currently_unsupported","possible_future_support","estimated_runtime_complexity","estimated_resource_risk","correctness_risk","recommended_priority","notes"
"libretro-sega-saturn\Ultimate Mortal Kombat 3 (GameShark).cht","Ultimate Mortal Kombat 3","50% Energy P2","160D20D8+0053+D60D20D8+00A6","conditional + direct write","16;D6","0x0D20D8","0x0053;0x00A6","unsupported or mixed record types: conditional_d6,simple_16bit","Needs read/compare/branch behavior and definition of how many following writes are gated.","high","medium","high","P5","from MISTER_LIBRARY_SKIPPED_20260613.csv; D6-style conditional present."
"libretro-sega-saturn\Ultimate Mortal Kombat 3 (GameShark).cht","Ultimate Mortal Kombat 3","75% Energy P1","160D19FC+007C+D60D19FC+00A6","conditional + direct write","16;D6","0x0D19FC","0x007C;0x00A6","unsupported or mixed record types: conditional_d6,simple_16bit","Needs read/compare/branch behavior and definition of how many following writes are gated.","high","medium","high","P5","from MISTER_LIBRARY_SKIPPED_20260613.csv; D6-style conditional present."
"libretro-sega-saturn\Ultimate Mortal Kombat 3 (GameShark).cht","Ultimate Mortal Kombat 3","75% Energy P2","160D20D8+007C+D60D20D8+00A6","conditional + direct write","16;D6","0x0D20D8","0x007C;0x00A6","unsupported or mixed record types: conditional_d6,simple_16bit","Needs read/compare/branch behavior and definition of how many following writes are gated.","high","medium","high","P5","from MISTER_LIBRARY_SKIPPED_20260613.csv; D6-style conditional present."
"manual_import_queue_20260613\Vampire Savior (Jpn T-1228G) (GameHacking).cht","Vampire Savior","1P When Use CAllON, Change to D.CAllON [kchan@hknet.com]","D6094126+0002+160943B6+1200","conditional + direct write","16;D6","0x094126;0x0943B6","0x0002;0x1200","unsupported or mixed record types: conditional_d6,simple_16bit","Needs read/compare/branch behavior and definition of how many following writes are gated.","high","medium","high","P5","from MISTER_LIBRARY_SKIPPED_20260613.csv; D6-style conditional present."
"libretro-sega-saturn\Virtua Fighter 2 (GameShark).cht","Virtua Fighter 2","1-Hit Death Energy P1","D60621B8+00A0+160621B8+0001","conditional + direct write","16;D6","0x0621B8","0x00A0;0x0001","unsupported or mixed record types: conditional_d6,simple_16bit","Needs read/compare/branch behavior and definition of how many following writes are gated.","high","medium","high","P5","from MISTER_LIBRARY_SKIPPED_20260613.csv; D6-style conditional present."
"libretro-sega-saturn\Virtua Fighter 2 (GameShark).cht","Virtua Fighter 2","25% Energy P1","D60621B8+00A0+160621B8+0028","conditional + direct write","16;D6","0x0621B8","0x00A0;0x0028","unsupported or mixed record types: conditional_d6,simple_16bit","Needs read/compare/branch behavior and definition of how many following writes are gated.","high","medium","high","P5","from MISTER_LIBRARY_SKIPPED_20260613.csv; D6-style conditional present."
"libretro-sega-saturn\Virtua Fighter 2 (GameShark).cht","Virtua Fighter 2","50% Energy P1","D60621B8+00A0+160621B8+0050","conditional + direct write","16;D6","0x0621B8","0x00A0;0x0050","unsupported or mixed record types: conditional_d6,simple_16bit","Needs read/compare/branch behavior and definition of how many following writes are gated.","high","medium","high","P5","from MISTER_LIBRARY_SKIPPED_20260613.csv; D6-style conditional present."
"libretro-sega-saturn\Virtua Fighter 2 (GameShark).cht","Virtua Fighter 2","75% Energy P1","D60621B8+00A0+160621B8+0078","conditional + direct write","16;D6","0x0621B8","0x00A0;0x0078","unsupported or mixed record types: conditional_d6,simple_16bit","Needs read/compare/branch behavior and definition of how many following writes are gated.","high","medium","high","P5","from MISTER_LIBRARY_SKIPPED_20260613.csv; D6-style conditional present."
"libretro-sega-saturn\Virtua Fighter Kids (GameShark).cht","Virtua Fighter Kids","1-Hit Death","D6045974+00A0+16045974+0001","conditional + direct write","16;D6","0x045974","0x00A0;0x0001","unsupported or mixed record types: conditional_d6,simple_16bit","Needs read/compare/branch behavior and definition of how many following writes are gated.","high","medium","high","P5","from MISTER_LIBRARY_SKIPPED_20260613.csv; D6-style conditional present."
"libretro-sega-saturn\Virtua Fighter Kids (GameShark).cht","Virtua Fighter Kids","P1 25% Health","D6045974+00A0+16045974+0028","conditional + direct write","16;D6","0x045974","0x00A0;0x0028","unsupported or mixed record types: conditional_d6,simple_16bit","Needs read/compare/branch behavior and definition of how many following writes are gated.","high","medium","high","P5","from MISTER_LIBRARY_SKIPPED_20260613.csv; D6-style conditional present."
"libretro-sega-saturn\Virtua Fighter Kids (GameShark).cht","Virtua Fighter Kids","P1 50% Health","D6045974+00A0+16045974+0050","conditional + direct write","16;D6","0x045974","0x00A0;0x0050","unsupported or mixed record types: conditional_d6,simple_16bit","Needs read/compare/branch behavior and definition of how many following writes are gated.","high","medium","high","P5","from MISTER_LIBRARY_SKIPPED_20260613.csv; D6-style conditional present."
"libretro-sega-saturn\Virtua Fighter Kids (GameShark).cht","Virtua Fighter Kids","P1 75% Health","D6045974+00A0+16045974+0078","conditional + direct write","16;D6","0x045974","0x00A0;0x0078","unsupported or mixed record types: conditional_d6,simple_16bit","Needs read/compare/branch behavior and definition of how many following writes are gated.","high","medium","high","P5","from MISTER_LIBRARY_SKIPPED_20260613.csv; D6-style conditional present."
"libretro-sega-saturn\Virtua Fighter Kids (GameShark).cht","Virtua Fighter Kids","P2 1-Hit Death","D6046A74+00A0+16046A74+0001","conditional + direct write","16;D6","0x046A74","0x00A0;0x0001","unsupported or mixed record types: conditional_d6,simple_16bit","Needs read/compare/branch behavior and definition of how many following writes are gated.","high","medium","high","P5","from MISTER_LIBRARY_SKIPPED_20260613.csv; D6-style conditional present."
"libretro-sega-saturn\Virtua Fighter Kids (GameShark).cht","Virtua Fighter Kids","P2 25% Health","D6046A74+00A0+16046A74+0028","conditional + direct write","16;D6","0x046A74","0x00A0;0x0028","unsupported or mixed record types: conditional_d6,simple_16bit","Needs read/compare/branch behavior and definition of how many following writes are gated.","high","medium","high","P5","from MISTER_LIBRARY_SKIPPED_20260613.csv; D6-style conditional present."
"libretro-sega-saturn\Virtua Fighter Kids (GameShark).cht","Virtua Fighter Kids","P2 50% Health","D6046A74+00A0+16046A74+0050","conditional + direct write","16;D6","0x046A74","0x00A0;0x0050","unsupported or mixed record types: conditional_d6,simple_16bit","Needs read/compare/branch behavior and definition of how many following writes are gated.","high","medium","high","P5","from MISTER_LIBRARY_SKIPPED_20260613.csv; D6-style conditional present."
"libretro-sega-saturn\Virtua Fighter Kids (GameShark).cht","Virtua Fighter Kids","P2 75% Health","D6046A74+00A0+16046A74+0078","conditional + direct write","16;D6","0x046A74","0x00A0;0x0078","unsupported or mixed record types: conditional_d6,simple_16bit","Needs read/compare/branch behavior and definition of how many following writes are gated.","high","medium","high","P5","from MISTER_LIBRARY_SKIPPED_20260613.csv; D6-style conditional present."
"libretro-sega-saturn\Virtua Fighter Remix (GameShark).cht","Virtua Fighter Remix","1-Hit Death P1","D6092072+00A0+16092072+0010","conditional + direct write","16;D6","0x092072","0x00A0;0x0010","unsupported or mixed record types: conditional_d6,simple_16bit","Needs read/compare/branch behavior and definition of how many following writes are gated.","high","medium","high","P5","from MISTER_LIBRARY_SKIPPED_20260613.csv; D6-style conditional present."
"libretro-sega-saturn\Virtua Fighter Remix (GameShark).cht","Virtua Fighter Remix","25% Energy P1","D6092072+00A0+16092072+0028","conditional + direct write","16;D6","0x092072","0x00A0;0x0028","unsupported or mixed record types: conditional_d6,simple_16bit","Needs read/compare/branch behavior and definition of how many following writes are gated.","high","medium","high","P5","from MISTER_LIBRARY_SKIPPED_20260613.csv; D6-style conditional present."
"libretro-sega-saturn\Virtua Fighter Remix (GameShark).cht","Virtua Fighter Remix","50% Energy P1","D6092072+00A0+16092072+0050","conditional + direct write","16;D6","0x092072","0x00A0;0x0050","unsupported or mixed record types: conditional_d6,simple_16bit","Needs read/compare/branch behavior and definition of how many following writes are gated.","high","medium","high","P5","from MISTER_LIBRARY_SKIPPED_20260613.csv; D6-style conditional present."
"libretro-sega-saturn\Virtua Fighter Remix (GameShark).cht","Virtua Fighter Remix","75% Energy P1","D6092072+00A0+16092072+0078","conditional + direct write","16;D6","0x092072","0x00A0;0x0078","unsupported or mixed record types: conditional_d6,simple_16bit","Needs read/compare/branch behavior and definition of how many following writes are gated.","high","medium","high","P5","from MISTER_LIBRARY_SKIPPED_20260613.csv; D6-style conditional present."
"libretro-sega-saturn\Virtua Fighter Remix (GameShark).cht","Virtua Fighter Remix","No Energy P1","D6092072+00A0+16092072+0000","conditional + direct write","16;D6","0x092072","0x00A0;0x0000","unsupported or mixed record types: conditional_d6,simple_16bit","Needs read/compare/branch behavior and definition of how many following writes are gated.","high","medium","high","P5","from MISTER_LIBRARY_SKIPPED_20260613.csv; D6-style conditional present."
"libretro-sega-saturn\World Series Baseball 98 (GameShark).cht","World Series Baseball 98","1 Ball And You Walk","D608426C+0000+1608426C+0003","conditional + direct write","16;D6","0x08426C","0x0000;0x0003","unsupported or mixed record types: conditional_d6,simple_16bit","Needs read/compare/branch behavior and definition of how many following writes are gated.","high","medium","high","P5","from MISTER_LIBRARY_SKIPPED_20260613.csv; D6-style conditional present."
"libretro-sega-saturn\World Series Baseball 98 (GameShark).cht","World Series Baseball 98","1 Out And You Are Out","D6083A88+0000+16083A88+0002","conditional + direct write","16;D6","0x083A88","0x0000;0x0002","unsupported or mixed record types: conditional_d6,simple_16bit","Needs read/compare/branch behavior and definition of how many following writes are gated.","high","medium","high","P5","from MISTER_LIBRARY_SKIPPED_20260613.csv; D6-style conditional present."
"libretro-sega-saturn\World Series Baseball 98 (GameShark).cht","World Series Baseball 98","1 Strike And You Are Out","D6083782+0000+16083782+0002","conditional + direct write","16;D6","0x083782","0x0000;0x0002","unsupported or mixed record types: conditional_d6,simple_16bit","Needs read/compare/branch behavior and definition of how many following writes are gated.","high","medium","high","P5","from MISTER_LIBRARY_SKIPPED_20260613.csv; D6-style conditional present."
"libretro-sega-saturn\World Series Baseball 98 (GameShark).cht","World Series Baseball 98","2 Balls And You Walk","D608426C+0000+1608426C+0002","conditional + direct write","16;D6","0x08426C","0x0000;0x0002","unsupported or mixed record types: conditional_d6,simple_16bit","Needs read/compare/branch behavior and definition of how many following writes are gated.","high","medium","high","P5","from MISTER_LIBRARY_SKIPPED_20260613.csv; D6-style conditional present."
"libretro-sega-saturn\World Series Baseball 98 (GameShark).cht","World Series Baseball 98","2 Outs And You Are Out","D6083A88+0000+16083A88+0002","conditional + direct write","16;D6","0x083A88","0x0000;0x0002","unsupported or mixed record types: conditional_d6,simple_16bit","Needs read/compare/branch behavior and definition of how many following writes are gated.","high","medium","high","P5","from MISTER_LIBRARY_SKIPPED_20260613.csv; D6-style conditional present."
"libretro-sega-saturn\World Series Baseball 98 (GameShark).cht","World Series Baseball 98","2 Strikes And You Are Out","D6083782+0000+16083782+0001","conditional + direct write","16;D6","0x083782","0x0000;0x0001","unsupported or mixed record types: conditional_d6,simple_16bit","Needs read/compare/branch behavior and definition of how many following writes are gated.","high","medium","high","P5","from MISTER_LIBRARY_SKIPPED_20260613.csv; D6-style conditional present."
"libretro-sega-saturn\World Series Baseball 98 (GameShark).cht","World Series Baseball 98","3 Balls And You Walk","D608426C+0000+1608426C+0001","conditional + direct write","16;D6","0x08426C","0x0000;0x0001","unsupported or mixed record types: conditional_d6,simple_16bit","Needs read/compare/branch behavior and definition of how many following writes are gated.","high","medium","high","P5","from MISTER_LIBRARY_SKIPPED_20260613.csv; D6-style conditional present."
"WWF WrestleMania - The Arcade Game (GameShark).cht","WWF WrestleMania - The Arcade Game","1-Hit Death P1","D6043F5C+0078+16043F5C+0001","conditional + direct write","16;D6","0x043F5C","0x0078;0x0001","unsupported or mixed record types: conditional_d6,simple_16bit","Needs read/compare/branch behavior and definition of how many following writes are gated.","high","medium","high","P5","from generated_srmw_srmr_unsupported_or_skipped.csv; D6-style conditional present."
"WWF WrestleMania - The Arcade Game (GameShark).cht","WWF WrestleMania - The Arcade Game","1-Hit Death P2","D6043F64+0078+16043F64+0001","conditional + direct write","16;D6","0x043F64","0x0078;0x0001","unsupported or mixed record types: conditional_d6,simple_16bit","Needs read/compare/branch behavior and definition of how many following writes are gated.","high","medium","high","P5","from generated_srmw_srmr_unsupported_or_skipped.csv; D6-style conditional present."
"WWF WrestleMania - The Arcade Game (GameShark).cht","WWF WrestleMania - The Arcade Game","25% Energy P1","D6043F5C+0078+16043F5C+001E","conditional + direct write","16;D6","0x043F5C","0x0078;0x001E","unsupported or mixed record types: conditional_d6,simple_16bit","Needs read/compare/branch behavior and definition of how many following writes are gated.","high","medium","high","P5","from generated_srmw_srmr_unsupported_or_skipped.csv; D6-style conditional present."
"WWF WrestleMania - The Arcade Game (GameShark).cht","WWF WrestleMania - The Arcade Game","25% Energy P2","D6043F64+0078+16043F64+001E","conditional + direct write","16;D6","0x043F64","0x0078;0x001E","unsupported or mixed record types: conditional_d6,simple_16bit","Needs read/compare/branch behavior and definition of how many following writes are gated.","high","medium","high","P5","from generated_srmw_srmr_unsupported_or_skipped.csv; D6-style conditional present."
"WWF WrestleMania - The Arcade Game (GameShark).cht","WWF WrestleMania - The Arcade Game","50% Energy P1","D6043F5C+0078+16043F5C+003C","conditional + direct write","16;D6","0x043F5C","0x0078;0x003C","unsupported or mixed record types: conditional_d6,simple_16bit","Needs read/compare/branch behavior and definition of how many following writes are gated.","high","medium","high","P5","from generated_srmw_srmr_unsupported_or_skipped.csv; D6-style conditional present."
"WWF WrestleMania - The Arcade Game (GameShark).cht","WWF WrestleMania - The Arcade Game","50% Energy P2","D6043F64+0078+16043F64+003C","conditional + direct write","16;D6","0x043F64","0x0078;0x003C","unsupported or mixed record types: conditional_d6,simple_16bit","Needs read/compare/branch behavior and definition of how many following writes are gated.","high","medium","high","P5","from generated_srmw_srmr_unsupported_or_skipped.csv; D6-style conditional present."
"WWF WrestleMania - The Arcade Game (GameShark).cht","WWF WrestleMania - The Arcade Game","75% Energy P1","D6043F5C+0078+16043F5C+005A","conditional + direct write","16;D6","0x043F5C","0x0078;0x005A","unsupported or mixed record types: conditional_d6,simple_16bit","Needs read/compare/branch behavior and definition of how many following writes are gated.","high","medium","high","P5","from generated_srmw_srmr_unsupported_or_skipped.csv; D6-style conditional present."
"WWF WrestleMania - The Arcade Game (GameShark).cht","WWF WrestleMania - The Arcade Game","75% Energy P2","D6043F64+0078+16043F64+005A","conditional + direct write","16;D6","0x043F64","0x0078;0x005A","unsupported or mixed record types: conditional_d6,simple_16bit","Needs read/compare/branch behavior and definition of how many following writes are gated.","high","medium","high","P5","from generated_srmw_srmr_unsupported_or_skipped.csv; D6-style conditional present."
"X-Men - Children of the Atom (GameShark).cht","X-Men - Children of the Atom","1-Hit Death Energy P1","D60E4190+008F+160E4190+0001","conditional + direct write","16;D6","0x0E4190","0x008F;0x0001","unsupported or mixed record types: conditional_d6,simple_16bit","Needs read/compare/branch behavior and definition of how many following writes are gated.","high","medium","high","P5","from generated_srmw_srmr_unsupported_or_skipped.csv; D6-style conditional present."
"X-Men - Children of the Atom (GameShark).cht","X-Men - Children of the Atom","1-Hit Death P2","D60E4590+008F+160E4590+0001","conditional + direct write","16;D6","0x0E4590","0x008F;0x0001","unsupported or mixed record types: conditional_d6,simple_16bit","Needs read/compare/branch behavior and definition of how many following writes are gated.","high","medium","high","P5","from generated_srmw_srmr_unsupported_or_skipped.csv; D6-style conditional present."
"X-Men - Children of the Atom (GameShark).cht","X-Men - Children of the Atom","25% Energy P1","D60E4190+008F+160E4190+0023","conditional + direct write","16;D6","0x0E4190","0x008F;0x0023","unsupported or mixed record types: conditional_d6,simple_16bit","Needs read/compare/branch behavior and definition of how many following writes are gated.","high","medium","high","P5","from generated_srmw_srmr_unsupported_or_skipped.csv; D6-style conditional present."
"X-Men - Children of the Atom (GameShark).cht","X-Men - Children of the Atom","25% Energy P2","D60E4590+008F+160E4590+0023","conditional + direct write","16;D6","0x0E4590","0x008F;0x0023","unsupported or mixed record types: conditional_d6,simple_16bit","Needs read/compare/branch behavior and definition of how many following writes are gated.","high","medium","high","P5","from generated_srmw_srmr_unsupported_or_skipped.csv; D6-style conditional present."
"X-Men - Children of the Atom (GameShark).cht","X-Men - Children of the Atom","50% Energy P1","D60E4190+008F+160E4190+0047","conditional + direct write","16;D6","0x0E4190","0x008F;0x0047","unsupported or mixed record types: conditional_d6,simple_16bit","Needs read/compare/branch behavior and definition of how many following writes are gated.","high","medium","high","P5","from generated_srmw_srmr_unsupported_or_skipped.csv; D6-style conditional present."
"X-Men - Children of the Atom (GameShark).cht","X-Men - Children of the Atom","50% Energy P2","D60E4590+008F+160E4590+0047","conditional + direct write","16;D6","0x0E4590","0x008F;0x0047","unsupported or mixed record types: conditional_d6,simple_16bit","Needs read/compare/branch behavior and definition of how many following writes are gated.","high","medium","high","P5","from generated_srmw_srmr_unsupported_or_skipped.csv; D6-style conditional present."
"X-Men - Children of the Atom (GameShark).cht","X-Men - Children of the Atom","75% Energy P1","D60E4190+008F+160E4190+006B","conditional + direct write","16;D6","0x0E4190","0x008F;0x006B","unsupported or mixed record types: conditional_d6,simple_16bit","Needs read/compare/branch behavior and definition of how many following writes are gated.","high","medium","high","P5","from generated_srmw_srmr_unsupported_or_skipped.csv; D6-style conditional present."
"X-Men - Children of the Atom (GameShark).cht","X-Men - Children of the Atom","75% Energy P2","D60E4590+008F+160E4590+006B","conditional + direct write","16;D6","0x0E4590","0x008F;0x006B","unsupported or mixed record types: conditional_d6,simple_16bit","Needs read/compare/branch behavior and definition of how many following writes are gated.","high","medium","high","P5","from generated_srmw_srmr_unsupported_or_skipped.csv; D6-style conditional present."
"libretro-sega-saturn\Crusader - No Remorse (GameShark).cht","Crusader - No Remorse","Have Laser Rifle","","duplicate","","0x060DBDF4","0x0100","duplicate generated output; duplicate_count=2","No hardware feature needed; dedupe converter output or keep one canonical file.","low","low","low","P0","mode=SRMR; duplicate_key=Crusader - No Remorse, SRMR, Have Laser Rifle, 0x060DBDF4, 0x0100"
"libretro-sega-saturn\Crusader - No Remorse (GameShark).cht","Crusader - No Remorse","Have Laser Rifle","","duplicate","","0x060DBDF4","0x0100","duplicate generated output; duplicate_count=2","No hardware feature needed; dedupe converter output or keep one canonical file.","low","low","low","P0","mode=SRMW; duplicate_key=Crusader - No Remorse, SRMW, Have Laser Rifle, 0x060DBDF4, 0x0100"
"libretro-sega-saturn\Crusader - No Remorse (GameShark).cht","Crusader - No Remorse","Have RP-32","","duplicate","","0x060DBDE8","0x0100","duplicate generated output; duplicate_count=2","No hardware feature needed; dedupe converter output or keep one canonical file.","low","low","low","P0","mode=SRMW; duplicate_key=Crusader - No Remorse, SRMW, Have RP-32, 0x060DBDE8, 0x0100"
"libretro-sega-saturn\Crusader - No Remorse (GameShark).cht","Crusader - No Remorse","Have RP-32","","duplicate","","0x060DBDE8","0x0100","duplicate generated output; duplicate_count=2","No hardware feature needed; dedupe converter output or keep one canonical file.","low","low","low","P0","mode=SRMR; duplicate_key=Crusader - No Remorse, SRMR, Have RP-32, 0x060DBDE8, 0x0100"
"libretro-sega-saturn\Crusader - No Remorse (GameShark).cht","Crusader - No Remorse","Have Shotgun","","duplicate","","0x060DBDEC","0x0100","duplicate generated output; duplicate_count=2","No hardware feature needed; dedupe converter output or keep one canonical file.","low","low","low","P0","mode=SRMW; duplicate_key=Crusader - No Remorse, SRMW, Have Shotgun, 0x060DBDEC, 0x0100"
"libretro-sega-saturn\Crusader - No Remorse (GameShark).cht","Crusader - No Remorse","Have Shotgun","","duplicate","","0x060DBDEC","0x0100","duplicate generated output; duplicate_count=2","No hardware feature needed; dedupe converter output or keep one canonical file.","low","low","low","P0","mode=SRMR; duplicate_key=Crusader - No Remorse, SRMR, Have Shotgun, 0x060DBDEC, 0x0100"
"manual_import_queue_20260613\Dragon Force (USA T-12703H) (GameHacking).cht","Dragon Force","Duel Automatically [pete@axionet.com]","","duplicate","","0x0607A64E","0x0000","duplicate generated output; duplicate_count=2","No hardware feature needed; dedupe converter output or keep one canonical file.","low","low","low","P0","mode=SRMR; duplicate_key=Dragon Force, SRMR, Duel Automatically [pete@axionet.com], 0x0607A64E, 0x0000"
"manual_import_queue_20260613\Dragon Force (USA T-12703H) (GameHacking).cht","Dragon Force","Duel Automatically [pete@axionet.com]","","duplicate","","0x0607A64E","0x0000","duplicate generated output; duplicate_count=2","No hardware feature needed; dedupe converter output or keep one canonical file.","low","low","low","P0","mode=SRMW; duplicate_key=Dragon Force, SRMW, Duel Automatically [pete@axionet.com], 0x0607A64E, 0x0000"
"manual_import_queue_20260613\Dragon Force (USA T-12703H) (GameHacking).cht","Dragon Force","Enemy Has 0 HP [ReyVGM]","","duplicate","","0x06077E00","0x0000","duplicate generated output; duplicate_count=2","No hardware feature needed; dedupe converter output or keep one canonical file.","low","low","low","P0","mode=SRMR; duplicate_key=Dragon Force, SRMR, Enemy Has 0 HP [ReyVGM], 0x06077E00, 0x0000"
"manual_import_queue_20260613\Dragon Force (USA T-12703H) (GameHacking).cht","Dragon Force","Enemy Has 0 HP [ReyVGM]","","duplicate","","0x06077E00","0x0000","duplicate generated output; duplicate_count=2","No hardware feature needed; dedupe converter output or keep one canonical file.","low","low","low","P0","mode=SRMW; duplicate_key=Dragon Force, SRMW, Enemy Has 0 HP [ReyVGM], 0x06077E00, 0x0000"
"manual_import_queue_20260613\Dragon Force (USA T-12703H) (GameHacking).cht","Dragon Force","Infinite Energy [pete@axionet.com]","","duplicate","","0x06077DE4","0x0076","duplicate generated output; duplicate_count=2","No hardware feature needed; dedupe converter output or keep one canonical file.","low","low","low","P0","mode=SRMR; duplicate_key=Dragon Force, SRMR, Infinite Energy [pete@axionet.com], 0x06077DE4, 0x0076"
"manual_import_queue_20260613\Dragon Force (USA T-12703H) (GameHacking).cht","Dragon Force","Infinite Energy [pete@axionet.com]","","duplicate","","0x06077DE4","0x0076","duplicate generated output; duplicate_count=2","No hardware feature needed; dedupe converter output or keep one canonical file.","low","low","low","P0","mode=SRMW; duplicate_key=Dragon Force, SRMW, Infinite Energy [pete@axionet.com], 0x06077DE4, 0x0076"
"manual_import_queue_20260613\Dragon Force (USA T-12703H) (GameHacking).cht","Dragon Force","Stop Timer At 88 [pete@axionet.com]","","duplicate","","0x0607A6A6","0x0A5C","duplicate generated output; duplicate_count=2","No hardware feature needed; dedupe converter output or keep one canonical file.","low","low","low","P0","mode=SRMR; duplicate_key=Dragon Force, SRMR, Stop Timer At 88 [pete@axionet.com], 0x0607A6A6, 0x0A5C"
"manual_import_queue_20260613\Dragon Force (USA T-12703H) (GameHacking).cht","Dragon Force","Stop Timer At 88 [pete@axionet.com]","","duplicate","","0x0607A6A6","0x0A5C","duplicate generated output; duplicate_count=2","No hardware feature needed; dedupe converter output or keep one canonical file.","low","low","low","P0","mode=SRMW; duplicate_key=Dragon Force, SRMW, Stop Timer At 88 [pete@axionet.com], 0x0607A6A6, 0x0A5C"
"libretro-sega-saturn\Alien Trilogy (GameShark).cht","Alien Trilogy","Infinite Batteries","160CE42+0001","malformed/unknown","16","","0x0001","malformed token width or missing value: 160CE42; malformed token width or missing value: 0001","Requires source cleanup or opcode research before hardware support.","high","low","high","P6","from MISTER_LIBRARY_SKIPPED_20260613.csv"
"libretro-sega-saturn\Battle Stations (GameShark).cht","Battle Stations","Infinite Energy P1","160067C92+0064","malformed/unknown","16","0x0067C9","0x0064","malformed token width or missing value: 160067C92; malformed token width or missing value: 0064","Requires source cleanup or opcode research before hardware support.","high","low","high","P6","from MISTER_LIBRARY_SKIPPED_20260613.csv"
"libretro-sega-saturn\Battle Stations (GameShark).cht","Battle Stations","Infinite Energy P2","160067FC2+0064","malformed/unknown","16","0x0067FC","0x0064","malformed token width or missing value: 160067FC2; malformed token width or missing value: 0064","Requires source cleanup or opcode research before hardware support.","high","low","high","P6","from MISTER_LIBRARY_SKIPPED_20260613.csv"
"Bug (GameShark).cht","Bug","Always ""Stunt Bug""","16953F2E+029C+16054A3A+029C","malformed/unknown","16","0x953F2E;0x054A3A","0x029C;0x029C","simple 16-bit write outside current RAMH target","Requires source cleanup or opcode research before hardware support.","high","low","high","P6","from generated_srmw_srmr_unsupported_or_skipped.csv"
"libretro-sega-saturn\Die Hard Arcade (GameShark).cht","Die Hard Arcade","Infinite Credits (Alternative) - No Master Code Needed","","malformed/unknown","","","","RetroArch address/value field cheat","Requires source cleanup or opcode research before hardware support.","high","low","high","P6","from MISTER_LIBRARY_SKIPPED_20260613.csv"
"libretro-sega-saturn\FIFA Soccer 97 (GameShark).cht","FIFA Soccer 97","Enable Code (Must Be On)","D6010048+0000","malformed/unknown","D6","0x010048","0x0000","unsupported or mixed record types: conditional_d6","Requires source cleanup or opcode research before hardware support.","high","low","high","P6","from MISTER_LIBRARY_SKIPPED_20260613.csv"
"libretro-sega-saturn\Gex (GameShark).cht","Gex","Master Code","b60028000000","malformed/unknown","","","","unsupported or mixed record types: master_enable","Requires source cleanup or opcode research before hardware support.","high","low","high","P6","from MISTER_LIBRARY_SKIPPED_20260613.csv"
"libretro-sega-saturn\Ghen War (GameShark).cht","Ghen War","Infinite Lock-On Rockets","36094909999999996486845820854296906948909342515216117705192787369000960.00","malformed/unknown","","","","value modifier or non-hex token: 36094909999999996486845820854296906948909342515216117705192787369000960.00","Requires source cleanup or opcode research before hardware support.","high","low","high","P6","from MISTER_LIBRARY_SKIPPED_20260613.csv"
"libretro-sega-saturn\Ghen War (GameShark).cht","Ghen War","Infinite Mines","360949200006","malformed/unknown","","","","8-bit writes are out of scope for current SRMW/SRMR generator","Requires source cleanup or opcode research before hardware support.","high","low","high","P6","from MISTER_LIBRARY_SKIPPED_20260613.csv"
"libretro-sega-saturn\Ghen War (GameShark).cht","Ghen War","Infinite Robots","360949210006","malformed/unknown","","","","8-bit writes are out of scope for current SRMW/SRMR generator","Requires source cleanup or opcode research before hardware support.","high","low","high","P6","from MISTER_LIBRARY_SKIPPED_20260613.csv"
"libretro-sega-saturn\Ghen War (GameShark).cht","Ghen War","Infinite Rockets","3609491f0008","malformed/unknown","","","","8-bit writes are out of scope for current SRMW/SRMR generator","Requires source cleanup or opcode research before hardware support.","high","low","high","P6","from MISTER_LIBRARY_SKIPPED_20260613.csv"
"libretro-sega-saturn\Guardian Heroes (GameShark).cht","Guardian Heroes","Master Code","b60028000000","malformed/unknown","","","","unsupported or mixed record types: master_enable","Requires source cleanup or opcode research before hardware support.","high","low","high","P6","from MISTER_LIBRARY_SKIPPED_20260613.csv"
"libretro-sega-saturn\Guardian Heroes (GameShark).cht","Guardian Heroes","Must Be On Code","D6033C60+270F","malformed/unknown","D6","0x033C60","0x270F","unsupported or mixed record types: conditional_d6","Requires source cleanup or opcode research before hardware support.","high","low","high","P6","from MISTER_LIBRARY_SKIPPED_20260613.csv"
"libretro-sega-saturn\Impact Racing (GameShark).cht","Impact Racing","Lasers Never Overheat","102457120000","malformed/unknown","","","","unsupported or mixed record types: unsupported_prefix_10","Requires source cleanup or opcode research before hardware support.","high","low","high","P6","from MISTER_LIBRARY_SKIPPED_20260613.csv"
"libretro-sega-saturn\Impact Racing (GameShark).cht","Impact Racing","Master Code","f6000924c305","malformed/unknown","","","","unsupported or mixed record types: master_enable","Requires source cleanup or opcode research before hardware support.","high","low","high","P6","from MISTER_LIBRARY_SKIPPED_20260613.csv"
"libretro-sega-saturn\Johnny Bazookatone (GameShark).cht","Johnny Bazookatone","Infinite Lives","10288ee60008","malformed/unknown","","","","unsupported or mixed record types: unsupported_prefix_10","Requires source cleanup or opcode research before hardware support.","high","low","high","P6","from MISTER_LIBRARY_SKIPPED_20260613.csv"
"Langrriser 5 - The End of Legend (Korea).cht","Langrriser 5 - The End of Legend (Korea)","???","","malformed/unknown","","","","RetroArch address/value field cheat","Requires source cleanup or opcode research before hardware support.","high","low","high","P6","from generated_srmw_srmr_unsupported_or_skipped.csv"
